Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Bulgaria","Production","Currants","2018","t","200"
"Crops and livestock products","Bulgaria","Yield","Currants","2020","kg/ha","1666.7"
"Crops and livestock products","Bulgaria","Production","Currants","2020","t","150"
"Crops and livestock products","Bulgaria","Yield","Currants","2021","kg/ha","1500"
"Crops and livestock products","Bulgaria","Production","Currants","2021","t","90"
"Crops and livestock products","Bulgaria","Yield","Currants","2022","kg/ha","1000"
"Crops and livestock products","Bulgaria","Production","Currants","2022","t","60"
"Crops and livestock products","Bulgaria","Yield","Currants","2023","kg/ha","1285.7"
"Crops and livestock products","Bulgaria","Production","Currants","2023","t","90"
"Crops and livestock products","Bulgaria","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2015","t",""
"Crops and livestock products","Bulgaria","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2016","t",""
"Crops and livestock products","Bulgaria","Production","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2017","t",""
"Crops and livestock products","Bulgaria","Yield","Eggplants (aubergines)","2015","kg/ha","20396.3"
"Crops and livestock products","Bulgaria","Production","Eggplants (aubergines)","2015","t","9933"
"Crops and livestock products","Bulgaria","Yield","Eggplants (aubergines)","2016","kg/ha","25418"
"Crops and livestock products","Bulgaria","Production","Eggplants (aubergines)","2016","t","7905"
"Crops and livestock products","Bulgaria","Yield","Eggplants (aubergines)","2017","kg/ha","24756.8"
"Crops and livestock products","Bulgaria","Production","Eggplants (aubergines)","2017","t","11908"
"Crops and livestock products","Bulgaria","Yield","Eggplants (aubergines)","2018","kg/ha","25590.9"
"Crops and livestock products","Bulgaria","Production","Eggplants (aubergines)","2018","t","11260"
"Crops and livestock products","Bulgaria","Yield","Eggplants (aubergines)","2019","kg/ha","28666.7"
"Crops and livestock products","Bulgaria","Production","Eggplants (aubergines)","2019","t","11180"
"Crops and livestock products","Bulgaria","Yield","Eggplants (aubergines)","2020","kg/ha","26810.8"
"Crops and livestock products","Bulgaria","Production","Eggplants (aubergines)","2020","t","9920"
"Crops and livestock products","Bulgaria","Yield","Eggplants (aubergines)","2021","kg/ha","24375"
"Crops and livestock products","Bulgaria","Production","Eggplants (aubergines)","2021","t","7800"
"Crops and livestock products","Bulgaria","Yield","Eggplants (aubergines)","2022","kg/ha","23071.4"
"Crops and livestock products","Bulgaria","Production","Eggplants (aubergines)","2022","t","9690"
"Crops and livestock products","Bulgaria","Yield","Eggplants (aubergines)","2023","kg/ha","28444.4"
"Crops and livestock products","Bulgaria","Production","Eggplants (aubergines)","2023","t","10240"
"Crops and livestock products","Bulgaria","Yield","Figs","2019","kg/ha","2000"
"Crops and livestock products","Bulgaria","Production","Figs","2019","t","20"
"Crops and livestock products","Bulgaria","Yield","Figs","2020","kg/ha","1333.3"
"Crops and livestock products","Bulgaria","Production","Figs","2020","t","40"
"Crops and livestock products","Bulgaria","Yield","Figs","2021","kg/ha","2000"
"Crops and livestock products","Bulgaria","Production","Figs","2021","t","80"
"Crops and livestock products","Bulgaria","Yield","Figs","2022","kg/ha","4333.3"
"Crops and livestock products","Bulgaria","Production","Figs","2022","t","130"
"Crops and livestock products","Bulgaria","Yield","Figs","2023","kg/ha","3250"
"Crops and livestock products","Bulgaria","Production","Figs","2023","t","130"
"Crops and livestock products","Bulgaria","Yield","Flax, raw or retted","2015","kg/ha","2254.5"
"Crops and livestock products","Bulgaria","Production","Flax, raw or retted","2015","t","91.13"
"Crops and livestock products","Bulgaria","Yield","Flax, raw or retted","2016","kg/ha","2288.9"
"Crops and livestock products","Bulgaria","Production","Flax, raw or retted","2016","t","94.34"
"Crops and livestock products","Bulgaria","Yield","Flax, raw or retted","2017","kg/ha","2339.5"
"Crops and livestock products","Bulgaria","Production","Flax, raw or retted","2017","t","92.46"
"Crops and livestock products","Bulgaria","Production","Flax, raw or retted","2018","t","0"
"Crops and livestock products","Bulgaria","Production","Flax, raw or retted","2019","t","0"
"Crops and livestock products","Bulgaria","Production","Flax, raw or retted","2020","t","0"
"Crops and livestock products","Bulgaria","Yield","Flax, raw or retted","2021","kg/ha","1820.5"
"Crops and livestock products","Bulgaria","Production","Flax, raw or retted","2021","t","710"
"Crops and livestock products","Bulgaria","Yield","Grapes","2015","kg/ha","6763.3"
"Crops and livestock products","Bulgaria","Production","Grapes","2015","t","261820"
"Crops and livestock products","Bulgaria","Yield","Grapes","2016","kg/ha","5775"
"Crops and livestock products","Bulgaria","Production","Grapes","2016","t","211083"
"Crops and livestock products","Bulgaria","Yield","Grapes","2017","kg/ha","5908"
"Crops and livestock products","Bulgaria","Production","Grapes","2017","t","201529"
"Crops and livestock products","Bulgaria","Yield","Grapes","2018","kg/ha","5908.2"
"Crops and livestock products","Bulgaria","Production","Grapes","2018","t","201530"
"Crops and livestock products","Bulgaria","Yield","Grapes","2019","kg/ha","5941.1"
"Crops and livestock products","Bulgaria","Production","Grapes","2019","t","178530"
"Crops and livestock products","Bulgaria","Yield","Grapes","2020","kg/ha","5535.8"
"Crops and livestock products","Bulgaria","Production","Grapes","2020","t","159100"
"Crops and livestock products","Bulgaria","Yield","Grapes","2021","kg/ha","6249.6"
"Crops and livestock products","Bulgaria","Production","Grapes","2021","t","178300"
"Crops and livestock products","Bulgaria","Yield","Grapes","2022","kg/ha","5680.4"
"Crops and livestock products","Bulgaria","Production","Grapes","2022","t","161720"
"Crops and livestock products","Bulgaria","Yield","Grapes","2023","kg/ha","5204.2"
"Crops and livestock products","Bulgaria","Production","Grapes","2023","t","147800"
"Crops and livestock products","Bulgaria","Yield","Green corn (maize)","2015","kg/ha","5787.2"
"Crops and livestock products","Bulgaria","Production","Green corn (maize)","2015","t","2801"
"Crops and livestock products","Bulgaria","Yield","Green corn (maize)","2016","kg/ha","8493"
"Crops and livestock products","Bulgaria","Production","Green corn (maize)","2016","t","4875"
"Crops and livestock products","Bulgaria","Yield","Green corn (maize)","2017","kg/ha","8464.4"
"Crops and livestock products","Bulgaria","Production","Green corn (maize)","2017","t","4156"
"Crops and livestock products","Bulgaria","Yield","Green garlic","2015","kg/ha","19500"
"Crops and livestock products","Bulgaria","Production","Green garlic","2015","t","39"
"Crops and livestock products","Bulgaria","Yield","Green garlic","2016","kg/ha","7375"
"Crops and livestock products","Bulgaria","Production","Green garlic","2016","t","59"
"Crops and livestock products","Bulgaria","Yield","Green garlic","2017","kg/ha","18000"
"Crops and livestock products","Bulgaria","Production","Green garlic","2017","t","18"
"Crops and livestock products","Bulgaria","Yield","Green garlic","2018","kg/ha","4214.3"
"Crops and livestock products","Bulgaria","Production","Green garlic","2018","t","1770"
"Crops and livestock products","Bulgaria","Yield","Green garlic","2019","kg/ha","4352.9"
"Crops and livestock products","Bulgaria","Production","Green garlic","2019","t","2220"
"Crops and livestock products","Bulgaria","Yield","Green garlic","2020","kg/ha","4324.3"
"Crops and livestock products","Bulgaria","Production","Green garlic","2020","t","1600"
"Crops and livestock products","Bulgaria","Yield","Green garlic","2021","kg/ha","3814.8"
"Crops and livestock products","Bulgaria","Production","Green garlic","2021","t","1030"
"Crops and livestock products","Bulgaria","Yield","Green garlic","2022","kg/ha","3794.1"
"Crops and livestock products","Bulgaria","Production","Green garlic","2022","t","1290"
"Crops and livestock products","Bulgaria","Yield","Green garlic","2023","kg/ha","3963"
"Crops and livestock products","Bulgaria","Production","Green garlic","2023","t","1070"
"Crops and livestock products","Bulgaria","Yield","Groundnuts, excluding shelled","2015","kg/ha","2112.6"
"Crops and livestock products","Bulgaria","Production","Groundnuts, excluding shelled","2015","t","469"
"Crops and livestock products","Bulgaria","Yield","Groundnuts, excluding shelled","2016","kg/ha","1902.9"
"Crops and livestock products","Bulgaria","Production","Groundnuts, excluding shelled","2016","t","677.33"
"Crops and livestock products","Bulgaria","Yield","Groundnuts, excluding shelled","2017","kg/ha","1695.3"
"Crops and livestock products","Bulgaria","Production","Groundnuts, excluding shelled","2017","t","751"
"Crops and livestock products","Bulgaria","Yield","Hazelnuts, in shell","2015","kg/ha","727.8"
"Crops and livestock products","Bulgaria","Production","Hazelnuts, in shell","2015","t","361"
"Crops and livestock products","Bulgaria","Yield","Hazelnuts, in shell","2016","kg/ha","409.9"
"Crops and livestock products","Bulgaria","Production","Hazelnuts, in shell","2016","t","223"
"Crops and livestock products","Bulgaria","Yield","Hazelnuts, in shell","2017","kg/ha","530.5"
"Crops and livestock products","Bulgaria","Production","Hazelnuts, in shell","2017","t","313"
"Crops and livestock products","Bulgaria","Yield","Hazelnuts, in shell","2018","kg/ha","487.5"
"Crops and livestock products","Bulgaria","Production","Hazelnuts, in shell","2018","t","390"
"Crops and livestock products","Bulgaria","Yield","Hazelnuts, in shell","2019","kg/ha","338.6"
"Crops and livestock products","Bulgaria","Production","Hazelnuts, in shell","2019","t","430"
"Crops and livestock products","Bulgaria","Yield","Hazelnuts, in shell","2020","kg/ha","634.3"
"Crops and livestock products","Bulgaria","Production","Hazelnuts, in shell","2020","t","850"
"Crops and livestock products","Bulgaria","Yield","Hazelnuts, in shell","2021","kg/ha","442.3"
"Crops and livestock products","Bulgaria","Production","Hazelnuts, in shell","2021","t","690"
"Crops and livestock products","Bulgaria","Yield","Hazelnuts, in shell","2022","kg/ha","496.7"
"Crops and livestock products","Bulgaria","Production","Hazelnuts, in shell","2022","t","760"
"Crops and livestock products","Bulgaria","Yield","Hazelnuts, in shell","2023","kg/ha","465.1"
"Crops and livestock products","Bulgaria","Production","Hazelnuts, in shell","2023","t","800"
"Crops and livestock products","Bulgaria","Production","Hempseed","2015","t",""
"Crops and livestock products","Bulgaria","Production","Hempseed","2016","t",""
"Crops and livestock products","Bulgaria","Production","Hempseed","2017","t",""
"Crops and livestock products","Bulgaria","Yield","Hop cones","2015","kg/ha","1804.5"
"Crops and livestock products","Bulgaria","Production","Hop cones","2015","t","137.19"
"Crops and livestock products","Bulgaria","Yield","Hop cones","2016","kg/ha","1867"
"Crops and livestock products","Bulgaria","Production","Hop cones","2016","t","140.58"
"Crops and livestock products","Bulgaria","Yield","Hop cones","2017","kg/ha","1825.9"
"Crops and livestock products","Bulgaria","Production","Hop cones","2017","t","124.82"
"Crops and livestock products","Bulgaria","Production","Hop cones","2018","t","0"
"Crops and livestock products","Bulgaria","Production","Hop cones","2019","t","0"
"Crops and livestock products","Bulgaria","Production","Hop cones","2020","t","0"
"Crops and livestock products","Bulgaria","Production","Hop cones","2022","t","0"
"Crops and livestock products","Bulgaria","Yield","Kiwi fruit","2015","kg/ha","7428.6"
"Crops and livestock products","Bulgaria","Production","Kiwi fruit","2015","t","131.7"
"Crops and livestock products","Bulgaria","Yield","Kiwi fruit","2016","kg/ha","7428.6"
"Crops and livestock products","Bulgaria","Production","Kiwi fruit","2016","t","112.77"
"Crops and livestock products","Bulgaria","Yield","Kiwi fruit","2017","kg/ha","7428.6"
"Crops and livestock products","Bulgaria","Production","Kiwi fruit","2017","t","132.42"
"Crops and livestock products","Bulgaria","Yield","Kiwi fruit","2019","kg/ha","3000"
"Crops and livestock products","Bulgaria","Production","Kiwi fruit","2019","t","30"
"Crops and livestock products","Bulgaria","Yield","Kiwi fruit","2020","kg/ha","3000"
"Crops and livestock products","Bulgaria","Production","Kiwi fruit","2020","t","30"
"Crops and livestock products","Bulgaria","Yield","Kiwi fruit","2021","kg/ha","3000"
"Crops and livestock products","Bulgaria","Production","Kiwi fruit","2021","t","150"
"Crops and livestock products","Bulgaria","Yield","Kiwi fruit","2022","kg/ha","4000"
"Crops and livestock products","Bulgaria","Production","Kiwi fruit","2022","t","80"
"Crops and livestock products","Bulgaria","Yield","Kiwi fruit","2023","kg/ha","5000"
"Crops and livestock products","Bulgaria","Production","Kiwi fruit","2023","t","250"
"Crops and livestock products","Bulgaria","Yield","Leeks and other alliaceous vegetables","2018","kg/ha","22800"
"Crops and livestock products","Bulgaria","Production","Leeks and other alliaceous vegetables","2018","t","2280"
"Crops and livestock products","Bulgaria","Yield","Leeks and other alliaceous vegetables","2019","kg/ha","14666.7"
"Crops and livestock products","Bulgaria","Production","Leeks and other alliaceous vegetables","2019","t","880"
"Crops and livestock products","Bulgaria","Yield","Leeks and other alliaceous vegetables","2020","kg/ha","12636.4"
"Crops and livestock products","Bulgaria","Production","Leeks and other alliaceous vegetables","2020","t","1390"
"Crops and livestock products","Bulgaria","Yield","Leeks and other alliaceous vegetables","2021","kg/ha","11000"
"Crops and livestock products","Bulgaria","Production","Leeks and other alliaceous vegetables","2021","t","1320"
"Crops and livestock products","Bulgaria","Yield","Leeks and other alliaceous vegetables","2022","kg/ha","11111.1"
"Crops and livestock products","Bulgaria","Production","Leeks and other alliaceous vegetables","2022","t","1000"
"Crops and livestock products","Bulgaria","Yield","Leeks and other alliaceous vegetables","2023","kg/ha","14714.3"
"Crops and livestock products","Bulgaria","Production","Leeks and other alliaceous vegetables","2023","t","1030"
"Crops and livestock products","Bulgaria","Production","Lemons and limes","2018","t","0"
"Crops and livestock products","Bulgaria","Production","Lemons and limes","2019","t","0"
"Crops and livestock products","Bulgaria","Production","Lemons and limes","2020","t","0"
"Crops and livestock products","Bulgaria","Production","Lemons and limes","2021","t","0"
"Crops and livestock products","Bulgaria","Production","Lemons and limes","2022","t","0"
"Crops and livestock products","Bulgaria","Production","Lemons and limes","2023","t","0"
"Crops and livestock products","Bulgaria","Yield","Lentils, dry","2015","kg/ha","1283.6"
"Crops and livestock products","Bulgaria","Production","Lentils, dry","2015","t","1860"
"Crops and livestock products","Bulgaria","Yield","Lentils, dry","2016","kg/ha","1576.4"
"Crops and livestock products","Bulgaria","Production","Lentils, dry","2016","t","6074"
"Crops and livestock products","Bulgaria","Yield","Lentils, dry","2017","kg/ha","1324.1"
"Crops and livestock products","Bulgaria","Production","Lentils, dry","2017","t","5920"
"Crops and livestock products","Bulgaria","Yield","Lettuce and chicory","2015","kg/ha","14392"
"Crops and livestock products","Bulgaria","Production","Lettuce and chicory","2015","t","2533"
"Crops and livestock products","Bulgaria","Yield","Lettuce and chicory","2016","kg/ha","24359.6"
"Crops and livestock products","Bulgaria","Production","Lettuce and chicory","2016","t","2425"
"Crops and livestock products","Bulgaria","Yield","Lettuce and chicory","2017","kg/ha","44646.6"
"Crops and livestock products","Bulgaria","Production","Lettuce and chicory","2017","t","5179"
"Crops and livestock products","Bulgaria","Yield","Lettuce and chicory","2018","kg/ha","22250"
"Crops and livestock products","Bulgaria","Production","Lettuce and chicory","2018","t","5340"
"Crops and livestock products","Bulgaria","Yield","Lettuce and chicory","2019","kg/ha","17695.7"
"Crops and livestock products","Bulgaria","Production","Lettuce and chicory","2019","t","4070"
"Crops and livestock products","Bulgaria","Yield","Lettuce and chicory","2020","kg/ha","17357.1"
"Crops and livestock products","Bulgaria","Production","Lettuce and chicory","2020","t","2430"
"Crops and livestock products","Bulgaria","Yield","Lettuce and chicory","2021","kg/ha","17533.3"
"Crops and livestock products","Bulgaria","Production","Lettuce and chicory","2021","t","2630"
"Crops and livestock products","Bulgaria","Yield","Lettuce and chicory","2022","kg/ha","21105.3"
"Crops and livestock products","Bulgaria","Production","Lettuce and chicory","2022","t","4010"
"Crops and livestock products","Bulgaria","Yield","Lettuce and chicory","2023","kg/ha","17454.5"
"Crops and livestock products","Bulgaria","Production","Lettuce and chicory","2023","t","3840"
"Crops and livestock products","Bulgaria","Yield","Linseed","2015","kg/ha","989.9"
"Crops and livestock products","Bulgaria","Production","Linseed","2015","t","166.36"
"Crops and livestock products","Bulgaria","Yield","Linseed","2016","kg/ha","1019.9"
"Crops and livestock products","Bulgaria","Production","Linseed","2016","t","164.47"
"Crops and livestock products","Bulgaria","Yield","Linseed","2017","kg/ha","1223"
"Crops and livestock products","Bulgaria","Production","Linseed","2017","t","181"
"Crops and livestock products","Bulgaria","Yield","Linseed","2018","kg/ha","800"
"Crops and livestock products","Bulgaria","Production","Linseed","2018","t","80"
"Crops and livestock products","Bulgaria","Production","Linseed","2019","t","0"
"Crops and livestock products","Bulgaria","Production","Linseed","2020","t","0"
"Crops and livestock products","Bulgaria","Yield","Linseed","2021","kg/ha","1460.3"
"Crops and livestock products","Bulgaria","Production","Linseed","2021","t","920"
"Crops and livestock products","Bulgaria","Yield","Linseed","2022","kg/ha","1305.6"
"Crops and livestock products","Bulgaria","Production","Linseed","2022","t","1410"
"Crops and livestock products","Bulgaria","Yield","Linseed","2023","kg/ha","1404.1"
"Crops and livestock products","Bulgaria","Production","Linseed","2023","t","2710"
"Crops and livestock products","Bulgaria","Yield","Lupins","2018","kg/ha","2230.8"
"Crops and livestock products","Bulgaria","Production","Lupins","2018","t","580"
"Crops and livestock products","Bulgaria","Production","Lupins","2019","t","0"
"Crops and livestock products","Bulgaria","Production","Lupins","2020","t","0"
"Crops and livestock products","Bulgaria","Yield","Maize (corn)","2015","kg/ha","5408.5"
"Crops and livestock products","Bulgaria","Production","Maize (corn)","2015","t","2696923"
"Crops and livestock products","Bulgaria","Yield","Maize (corn)","2016","kg/ha","5470.3"
"Crops and livestock products","Bulgaria","Production","Maize (corn)","2016","t","2226094"
"Crops and livestock products","Bulgaria","Yield","Maize (corn)","2017","kg/ha","6436.2"
"Crops and livestock products","Bulgaria","Production","Maize (corn)","2017","t","2562569"
"Crops and livestock products","Bulgaria","Yield","Maize (corn)","2018","kg/ha","7922.5"
"Crops and livestock products","Bulgaria","Production","Maize (corn)","2018","t","3522500"
"Crops and livestock products","Bulgaria","Yield","Maize (corn)","2019","kg/ha","7237.9"
"Crops and livestock products","Bulgaria","Production","Maize (corn)","2019","t","4059790"
"Crops and livestock products","Bulgaria","Yield","Maize (corn)","2020","kg/ha","5183"
"Crops and livestock products","Bulgaria","Production","Maize (corn)","2020","t","3014090"
"Crops and livestock products","Bulgaria","Yield","Maize (corn)","2021","kg/ha","5981.1"
"Crops and livestock products","Bulgaria","Production","Maize (corn)","2021","t","3427310"
"Crops and livestock products","Bulgaria","Yield","Maize (corn)","2022","kg/ha","4907.9"
"Crops and livestock products","Bulgaria","Production","Maize (corn)","2022","t","2554370"
"Crops and livestock products","Bulgaria","Yield","Maize (corn)","2023","kg/ha","4580.2"
"Crops and livestock products","Bulgaria","Production","Maize (corn)","2023","t","2448780"
"Crops and livestock products","Bulgaria","Production","Melonseed","2015","t",""
"Crops and livestock products","Bulgaria","Production","Melonseed","2016","t",""
"Crops and livestock products","Bulgaria","Production","Melonseed","2017","t",""
"Crops and livestock products","Bulgaria","Yield","Millet","2015","kg/ha","1351.7"
"Crops and livestock products","Bulgaria","Production","Millet","2015","t","6783"
"Crops and livestock products","Bulgaria","Yield","Millet","2016","kg/ha","1567.8"
"Crops and livestock products","Bulgaria","Production","Millet","2016","t","3725"
"Crops and livestock products","Bulgaria","Yield","Millet","2017","kg/ha","1801.6"
"Crops and livestock products","Bulgaria","Production","Millet","2017","t","4432"
"Crops and livestock products","Bulgaria","Production","Mixed grain","2018","t","0"
"Crops and livestock products","Bulgaria","Production","Mixed grain","2019","t","0"
"Crops and livestock products","Bulgaria","Production","Mixed grain","2020","t","0"
"Crops and livestock products","Bulgaria","Production","Mixed grain","2021","t","0"
"Crops and livestock products","Bulgaria","Production","Mushrooms and truffles","2015","t","2520"
"Crops and livestock products","Bulgaria","Production","Mushrooms and truffles","2016","t","1473"
"Crops and livestock products","Bulgaria","Production","Mushrooms and truffles","2017","t","1150"
"Crops and livestock products","Bulgaria","Production","Mushrooms and truffles","2018","t","1120"
"Crops and livestock products","Bulgaria","Production","Mushrooms and truffles","2020","t","1260"
"Crops and livestock products","Bulgaria","Production","Mushrooms and truffles","2021","t","1930"
"Crops and livestock products","Bulgaria","Production","Mushrooms and truffles","2022","t","1630"
"Crops and livestock products","Bulgaria","Production","Mushrooms and truffles","2023","t","1660"
"Crops and livestock products","Bulgaria","Yield","Mustard seed","2015","kg/ha","280.1"
"Crops and livestock products","Bulgaria","Production","Mustard seed","2015","t","1080.06"
"Crops and livestock products","Bulgaria","Yield","Mustard seed","2016","kg/ha","261.5"
"Crops and livestock products","Bulgaria","Production","Mustard seed","2016","t","1050.78"
"Crops and livestock products","Bulgaria","Yield","Mustard seed","2017","kg/ha","238.5"
"Crops and livestock products","Bulgaria","Production","Mustard seed","2017","t","1050.29"
"Crops and livestock products","Bulgaria","Yield","Oats","2015","kg/ha","1958.6"
"Crops and livestock products","Bulgaria","Production","Oats","2015","t","21694"
"Crops and livestock products","Bulgaria","Yield","Oats","2016","kg/ha","2047.4"
"Crops and livestock products","Bulgaria","Production","Oats","2016","t","31372"
"Crops and livestock products","Bulgaria","Yield","Oats","2017","kg/ha","2400.8"
"Crops and livestock products","Bulgaria","Production","Oats","2017","t","31849"
"Crops and livestock products","Bulgaria","Yield","Oats","2018","kg/ha","2205.5"
"Crops and livestock products","Bulgaria","Production","Oats","2018","t","25010"
"Crops and livestock products","Bulgaria","Yield","Oats","2019","kg/ha","2593.4"
"Crops and livestock products","Bulgaria","Production","Oats","2019","t","31510"
"Crops and livestock products","Bulgaria","Yield","Oats","2020","kg/ha","2362.7"
"Crops and livestock products","Bulgaria","Production","Oats","2020","t","31660"
"Crops and livestock products","Bulgaria","Yield","Oats","2021","kg/ha","2440.6"
"Crops and livestock products","Bulgaria","Production","Oats","2021","t","24260"
"Crops and livestock products","Bulgaria","Yield","Oats","2022","kg/ha","2255.2"
"Crops and livestock products","Bulgaria","Production","Oats","2022","t","25800"
"Crops and livestock products","Bulgaria","Yield","Oats","2023","kg/ha","2384.3"
"Crops and livestock products","Bulgaria","Production","Oats","2023","t","31020"
"Crops and livestock products","Bulgaria","Production","Olives","2018","t","0"
"Crops and livestock products","Bulgaria","Production","Olives","2019","t","0"
"Crops and livestock products","Bulgaria","Production","Olives","2020","t","0"
"Crops and livestock products","Bulgaria","Production","Olives","2021","t","0"
"Crops and livestock products","Bulgaria","Production","Olives","2022","t","0"
"Crops and livestock products","Bulgaria","Production","Olives","2023","t","0"
"Crops and livestock products","Bulgaria","Yield","Onions and shallots, dry (excluding dehydrated)","2015","kg/ha","8311"
"Crops and livestock products","Bulgaria","Production","Onions and shallots, dry (excluding dehydrated)","2015","t","8926"
"Crops and livestock products","Bulgaria","Yield","Onions and shallots, dry (excluding dehydrated)","2016","kg/ha","10931.1"
"Crops and livestock products","Bulgaria","Production","Onions and shallots, dry (excluding dehydrated)","2016","t","14921"
"Crops and livestock products","Bulgaria","Yield","Onions and shallots, dry (excluding dehydrated)","2017","kg/ha","11297.6"
"Crops and livestock products","Bulgaria","Production","Onions and shallots, dry (excluding dehydrated)","2017","t","23499"
"Crops and livestock products","Bulgaria","Yield","Onions and shallots, dry (excluding dehydrated)","2018","kg/ha","11358.7"
"Crops and livestock products","Bulgaria","Production","Onions and shallots, dry (excluding dehydrated)","2018","t","41800"
"Crops and livestock products","Bulgaria","Yield","Onions and shallots, dry (excluding dehydrated)","2019","kg/ha","11931.6"
"Crops and livestock products","Bulgaria","Production","Onions and shallots, dry (excluding dehydrated)","2019","t","31380"
"Crops and livestock products","Bulgaria","Yield","Onions and shallots, dry (excluding dehydrated)","2020","kg/ha","10855"
"Crops and livestock products","Bulgaria","Production","Onions and shallots, dry (excluding dehydrated)","2020","t","28440"
"Crops and livestock products","Bulgaria","Yield","Onions and shallots, dry (excluding dehydrated)","2021","kg/ha","12710.6"
"Crops and livestock products","Bulgaria","Production","Onions and shallots, dry (excluding dehydrated)","2021","t","29870"
"Crops and livestock products","Bulgaria","Yield","Onions and shallots, dry (excluding dehydrated)","2022","kg/ha","11836.2"
"Crops and livestock products","Bulgaria","Production","Onions and shallots, dry (excluding dehydrated)","2022","t","27460"
"Crops and livestock products","Bulgaria","Yield","Onions and shallots, dry (excluding dehydrated)","2023","kg/ha","12900.7"
"Crops and livestock products","Bulgaria","Production","Onions and shallots, dry (excluding dehydrated)","2023","t","38960"
"Crops and livestock products","Bulgaria","Yield","Onions and shallots, green","2015","kg/ha","7617"
"Crops and livestock products","Bulgaria","Production","Onions and shallots, green","2015","t","5735.93"
"Crops and livestock products","Bulgaria","Yield","Onions and shallots, green","2016","kg/ha","7558.4"
"Crops and livestock products","Bulgaria","Production","Onions and shallots, green","2016","t","5603.64"
"Crops and livestock products","Bulgaria","Yield","Onions and shallots, green","2017","kg/ha","7552"
"Crops and livestock products","Bulgaria","Production","Onions and shallots, green","2017","t","5443.54"
"Crops and livestock products","Bulgaria","Production","Oranges","2018","t","0"
"Crops and livestock products","Bulgaria","Production","Oranges","2019","t","0"
"Crops and livestock products","Bulgaria","Production","Oranges","2020","t","0"
"Crops and livestock products","Bulgaria","Production","Oranges","2021","t","0"
"Crops and livestock products","Bulgaria","Production","Oranges","2022","t","0"
"Crops and livestock products","Bulgaria","Production","Oranges","2023","t","0"
"Crops and livestock products","Bulgaria","Yield","Other beans, green","2015","kg/ha","6434.9"
"Crops and livestock products","Bulgaria","Production","Other beans, green","2015","t","2323"
"Crops and livestock products","Bulgaria","Yield","Other beans, green","2016","kg/ha","6597.5"
"Crops and livestock products","Bulgaria","Production","Other beans, green","2016","t","4671"
"Crops and livestock products","Bulgaria","Yield","Other beans, green","2017","kg/ha","5759.3"
"Crops and livestock products","Bulgaria","Production","Other beans, green","2017","t","1244"
"Crops and livestock products","Bulgaria","Yield","Other beans, green","2018","kg/ha","9315.8"
"Crops and livestock products","Bulgaria","Production","Other beans, green","2018","t","1770"
"Crops and livestock products","Bulgaria","Yield","Other beans, green","2019","kg/ha","5087"
"Crops and livestock products","Bulgaria","Production","Other beans, green","2019","t","1170"
"Crops and livestock products","Bulgaria","Yield","Other beans, green","2020","kg/ha","8272.7"
"Crops and livestock products","Bulgaria","Production","Other beans, green","2020","t","1820"
"Crops and livestock products","Bulgaria","Yield","Other beans, green","2021","kg/ha","6697.7"
"Crops and livestock products","Bulgaria","Production","Other beans, green","2021","t","2880"
"Crops and livestock products","Bulgaria","Yield","Other beans, green","2022","kg/ha","10777.8"
"Crops and livestock products","Bulgaria","Production","Other beans, green","2022","t","1940"
"Crops and livestock products","Bulgaria","Yield","Other beans, green","2023","kg/ha","4000"
"Crops and livestock products","Bulgaria","Production","Other beans, green","2023","t","320"
"Crops and livestock products","Bulgaria","Yield","Other berries and fruits of the genus vaccinium n.e.c.","2015","kg/ha","1236.8"
"Crops and livestock products","Bulgaria","Production","Other berries and fruits of the genus vaccinium n.e.c.","2015","t","284.97"
"Crops and livestock products","Bulgaria","Yield","Other berries and fruits of the genus vaccinium n.e.c.","2016","kg/ha","1245.2"
"Crops and livestock products","Bulgaria","Production","Other berries and fruits of the genus vaccinium n.e.c.","2016","t","284.79"
"Crops and livestock products","Bulgaria","Yield","Other berries and fruits of the genus vaccinium n.e.c.","2017","kg/ha","1237.5"
"Crops and livestock products","Bulgaria","Production","Other berries and fruits of the genus vaccinium n.e.c.","2017","t","284.34"
"Crops and livestock products","Bulgaria","Yield","Other berries and fruits of the genus vaccinium n.e.c.","2018","kg/ha","2724.1"
"Crops and livestock products","Bulgaria","Production","Other berries and fruits of the genus vaccinium n.e.c.","2018","t","790"
"Crops and livestock products","Bulgaria","Yield","Other berries and fruits of the genus vaccinium n.e.c.","2019","kg/ha","1953.5"
"Crops and livestock products","Bulgaria","Production","Other berries and fruits of the genus vaccinium n.e.c.","2019","t","1680"
"Crops and livestock products","Bulgaria","Yield","Other berries and fruits of the genus vaccinium n.e.c.","2020","kg/ha","1772.3"
"Crops and livestock products","Bulgaria","Production","Other berries and fruits of the genus vaccinium n.e.c.","2020","t","1790"
"Crops and livestock products","Bulgaria","Yield","Other berries and fruits of the genus vaccinium n.e.c.","2021","kg/ha","2020.6"
"Crops and livestock products","Bulgaria","Production","Other berries and fruits of the genus vaccinium n.e.c.","2021","t","1960"
"Crops and livestock products","Bulgaria","Yield","Other berries and fruits of the genus vaccinium n.e.c.","2022","kg/ha","2035.4"
