strategy_id,primary_id,Edgar_Class,CSC.Sector,CSC.Subsector,value,Year,Gas,design_id,future_id,strategy,Code,Contry,source,value_original,value_hp
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.008791837,2023,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.008791837,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.039671893,2024,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.039671893,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.069971182,2025,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.069971182,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.09983868,2026,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.09983868,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.129201132,2027,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.129201132,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.158294848,2028,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.158294848,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.187053814,2029,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.187053814,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.215414515,2030,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.215414515,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.243422058,2031,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.243422058,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.271061254,2032,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.271061254,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.298349153,2033,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.298349153,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.325321769,2034,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.325321769,NA
0,0,AG - Livestock:CH4,Agriculture,AG - Livestock,2.352103813,2035,CH4,0,0,Strategy TX:BASE,BGR,bulgaria,SISEPUEDE,2.352103813,NA
